['ODIXEG', 0.55, 4090.3, 2258.6, 0.84, 1.42, 10.36, 7.47, 8.83, 53.69]
['ENITAX', 0.57, 4020.7, 2304.1, 0.83, 1.36, 10.08, 7.22, 8.52, 53.53]
['TEQPEM', 0.57, 3456.2, 1980.1, 0.86, 1.45, 17.24, 9.16, 8.53, 53.51]
['RAYMIP', 0.5, 4101.4, 2062.2, 0.9, 1.61, 13.47, 9.8, 9.56, 53.32]
['VEHJOJ', 0.75, 2948.8, 2206.6, 0.82, 1.04, 14.1, 6.86, 6.53, 52.74]
['VEHJUP', 0.74, 2953.1, 2196.2, 0.82, 1.04, 14.28, 6.83, 6.58, 52.48]
['SENWIT', 0.78, 3097.6, 2426.3, 0.8, 0.98, 8.53, 6.5, 6.25, 52.34]
['BICDAU', 0.65, 3556.7, 2322.5, 0.84, 1.2, 11.5, 6.69, 7.4, 52.29]
['MIBQAR16', 0.6, 3671.55, 2192.12, 0.81, 1.36, 15.02, 7.97, 8.01, 52.29]
['HIGRIA', 0.65, 3477.3, 2258.8, 0.84, 1.19, 11.33, 6.86, 7.37, 52.11]
['MUDTAH', 0.56, 3693.9, 2076.7, 0.85, 1.41, 18.89, 6.63, 8.45, 52.11]
['VUJBEI', 0.56, 3718.3, 2092.0, 0.85, 1.41, 18.45, 6.58, 8.44, 52.06]
['VUSKAW', 0.59, 3625.3, 2155.9, 0.83, 1.36, 14.99, 7.97, 8.06, 52.04]
['KEFBEE', 0.71, 3087.7, 2180.3, 0.82, 1.07, 11.08, 7.04, 6.77, 51.98]
['SUKYON', 0.53, 5129.6, 2700.9, 0.85, 1.47, 10.8, 7.29, 8.85, 51.96]
['LAWGEW', 0.59, 3718.5, 2200.2, 0.83, 1.37, 15.07, 7.94, 8.04, 51.9]
['LAWGIA', 0.59, 3723.0, 2198.8, 0.83, 1.37, 15.07, 7.94, 8.04, 51.88]
['LURRIA', 0.41, 4585.5, 1864.2, 0.92, 2.08, 22.37, 9.74, 11.14, 51.88]
['RAYMOV', 0.42, 4875.0, 2067.0, 0.88, 1.92, 13.9, 9.66, 10.9, 51.88]
['SENWOZ', 0.74, 3188.7, 2369.4, 0.81, 1.05, 8.93, 7.14, 6.52, 51.88]
['UNIGEE', 0.61, 3599.22, 2179.51, 0.81, 1.33, 14.93, 7.84, 7.84, 51.84]
['SUKYIH', 0.6, 3788.5, 2271.3, 0.82, 1.28, 9.65, 7.09, 7.89, 51.82]
['VUSKEA', 0.59, 3590.0, 2134.9, 0.84, 1.36, 15.0, 8.0, 8.02, 51.8]
['PEVQOY', 0.61, 3592.7, 2204.9, 0.83, 1.31, 14.81, 7.88, 7.78, 51.79]
['EDUSIF', 0.59, 3634.1, 2156.3, 0.83, 1.36, 15.07, 7.92, 8.02, 51.78]
['LAWGUM', 0.59, 3732.8, 2197.9, 0.83, 1.37, 15.11, 7.93, 8.02, 51.78]
['LAWGOG', 0.59, 3728.2, 2197.5, 0.83, 1.37, 15.08, 7.94, 8.02, 51.75]
['OFODAP', 0.84, 2820.7, 2372.6, 0.8, 0.89, 8.07, 6.7, 5.77, 51.71]
['SETTAO', 0.53, 3807.9, 2033.8, 0.86, 1.48, 13.88, 10.04, 8.82, 51.71]
['VUJBIM', 0.56, 3721.3, 2086.7, 0.85, 1.41, 18.71, 6.62, 8.38, 51.64]
['MUDTEL', 0.56, 3718.7, 2079.8, 0.85, 1.42, 19.1, 6.59, 8.37, 51.56]
['NAYZOE', 0.5, 4639.9, 2314.9, 0.86, 1.62, 15.82, 6.53, 9.28, 51.53]
['SENWAL', 0.73, 3171.4, 2321.0, 0.82, 1.07, 8.65, 7.37, 6.55, 51.5]
['HIFTOG01', 0.58, 1136.1, 1315.6, 0.83, 1.38, 7.88, 4.15, 8.1, 51.46]
['MOCKAR', 0.75, 2948.2, 2207.1, 0.83, 1.0, 10.84, 6.73, 6.37, 51.46]
['VAZTOG', 0.59, 3681.1, 2171.5, 0.82, 1.37, 15.08, 7.94, 7.98, 51.44]
['BICPUA', 0.54, 3813.0, 2073.8, 0.88, 1.5, 13.8, 9.91, 8.63, 51.4]
['DIDDOK', 0.53, 4639.5, 2439.6, 0.83, 1.49, 9.6, 8.17, 8.76, 51.32]
['YUGLES', 0.72, 3074.3, 2207.3, 0.81, 1.05, 10.9, 6.78, 6.61, 51.32]
['NUTQAV', 0.72, 3021.0, 2183.4, 0.81, 1.04, 10.89, 6.87, 6.6, 51.3]
['RICBEM', 0.4, 5744.8, 2293.2, 0.88, 2.07, 11.38, 8.59, 11.27, 51.28]
['SIZPUN', 0.69, 2943.2, 2041.9, 0.84, 1.09, 19.23, 6.71, 6.86, 51.26]
['VEBHUG', 0.45, 4301.9, 1935.8, 0.87, 1.89, 17.27, 10.01, 10.16, 51.23]
['XAWVUN', 0.46, 4690.6, 2177.5, 0.86, 1.76, 10.79, 9.22, 9.94, 51.19]
['XEBHOC', 0.47, 4666.6, 2170.3, 0.86, 1.75, 12.08, 9.91, 9.74, 51.13]
['RUVKAV', 0.6, 3571.2, 2148.7, 0.83, 1.31, 11.95, 7.15, 7.78, 51.0]
['QUSBIP', 0.57, 4171.5, 2357.0, 0.82, 1.38, 10.67, 7.41, 8.15, 50.99]
['JEJWOL', 0.65, 3284.9, 2126.8, 0.8, 1.17, 9.81, 7.51, 7.22, 50.96]
['KEJQAR01', 0.97, 0.0, 0.0, 0.74, 0.7, 10.47, 2.57, 4.95, 50.95]
['PENNON', 0.68, 3616.3, 2476.8, 0.78, 1.08, 7.93, 6.24, 6.92, 50.94]
['EMIGEN', 1.09, 2114.3, 2311.0, 0.83, 0.69, 9.93, 9.16, 4.44, 50.88]
['EPOTAF', 0.58, 5193.8, 2987.7, 0.82, 1.34, 7.63, 6.61, 8.0, 50.86]
['LUYHAP', 0.62, 3546.2, 2193.5, 0.83, 1.26, 12.06, 6.74, 7.53, 50.85]
['MOCKEV', 0.77, 2846.3, 2185.4, 0.79, 0.96, 10.91, 6.62, 6.15, 50.8]
['RAHNOF', 0.59, 3488.3, 2075.0, 0.84, 1.31, 19.04, 6.57, 7.86, 50.79]
['EMIGAJ', 1.1, 1994.7, 2203.5, 0.83, 0.69, 12.67, 10.76, 4.39, 50.75]
['PEWLUA', 0.59, 3681.4, 2168.1, 0.84, 1.33, 17.77, 7.52, 7.85, 50.7]
['UKIQOV', 0.63, 3229.5, 2031.1, 0.84, 1.23, 13.67, 9.64, 7.38, 50.62]
['REWNEO', 0.58, 3631.5, 2170.4, 0.85, 1.36, 18.51, 6.94, 7.96, 50.61]
['REWNEO01', 0.6, 3690.8, 2134.6, 0.84, 1.31, 19.37, 6.77, 7.71, 50.54]
['PEVQIS', 0.61, 3569.4, 2162.3, 0.81, 1.32, 14.9, 7.78, 7.6, 50.51]
['MAYKOO', 0.6, 3156.4, 1904.3, 0.81, 1.26, 12.58, 11.5, 7.7, 50.48]
['WEHJEA', 0.73, 2908.4, 2133.5, 0.79, 1.02, 11.11, 5.77, 6.42, 50.47]
['NAFRUI', 1.23, 0.0, 0.0, 0.71, 0.57, 10.69, 2.62, 3.91, 50.41]
['HOGJIX', 0.78, 2904.2, 2277.5, 0.79, 0.94, 10.88, 5.94, 6.02, 50.38]
['OFAWEZ', 0.98, 2192.1, 2137.7, 0.81, 0.79, 10.67, 9.08, 4.87, 50.38]
['WAVROC', 0.53, 3661.2, 1937.2, 0.84, 1.48, 18.89, 7.92, 8.61, 50.37]
